Background,Item,Description
Acolyte,Trait,"I idolize a particular hero of my faith, and constantly refer to that person's deeds and example."
Acolyte,Trait,"I can find common ground between the fiercest enemies, empathizing with them and always working toward peace."
Acolyte,Trait,"I see omens in every event and action. The gods try to speak to us, we just need to listen."
Acolyte,Trait,Nothing can shake my optimistic attitude.
Acolyte,Trait,I quote (or misquote) sacred texts and proverbs in almost every situation.
Acolyte,Trait,I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.
Acolyte,Trait,"I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me."
Acolyte,Trait,I've spent so long in the temple that I have little practical experience dealing with people in the outside world.
Acolyte,Ideal,Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld. (Lawful)
Acolyte,Ideal,"Charity. I always try to help those in need, no matter what the personal cost. (Good)"
Acolyte,Ideal,Change. We must help bring about the changes the gods are constantly working in the world. (Chaotic)
Acolyte,Ideal,Power. I hope to one day rise to the top of my faith's religious hierarchy. (Lawful)
Acolyte,Ideal,"Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well. (Lawful)"
Acolyte,Ideal,Aspiration. I seek to prove myself worthy of my god's favor by matching my actions against his or her teachings. (Any)
Acolyte,Bond,I would die to recover an ancient relic of my faith that was lost long ago.
Acolyte,Bond,I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.
Acolyte,Bond,I owe my life to the priest who took me in when my parents died.
Acolyte,Bond,Everything I do is for the common people.
Acolyte,Bond,I will do anything to protect the temple where I served.
Acolyte,Bond,I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.
Acolyte,Flaw,"I judge others harshly, and myself even more severely."
Acolyte,Flaw,I put too much trust in those who wield power within my temple's hierarchy.
Acolyte,Flaw,My piety sometimes leads me to blindly trust those that profess faith in my god.
Acolyte,Flaw,I am inflexible in my thinking.
Acolyte,Flaw,I am suspicious of strangers and expect the worst of them.
Acolyte,Flaw,"Once I pick a goal, I become obsessed with it to the detriment of everything else in my life."
Charlatan,Scam,I cheat at games of chance.
Charlatan,Scam,I shave coins or forge documents.
Charlatan,Scam,I insinuate myself into people's lives to prey on their weakness and secure their fortunes.
Charlatan,Scam,I put on new identities like clothes.
Charlatan,Scam,I run sleight-of-hand cons on street corners.
Charlatan,Scam,I convince people that worthless junk is worth their hard-earned money.
Charlatan,Trait,"I fall in and out of love easily, and am always pursuing someone."
Charlatan,Trait,"I have a joke for every occasion, especially occasions where humor is inappropriate."
Charlatan,Trait,Flattery is my preferred trick for getting what I want.
Charlatan,Trait,I'm a born gambler who can't resist taking a risk for a potential payoff.
Charlatan,Trait,"I lie about almost everything, even when there's no reason to."
Charlatan,Trait,Sarcasm and insults are my weapons of choice.
Charlatan,Trait,I keep multiple holy symbols on me and invoke whatever deity might come in useful at any given moment.
Charlatan,Trait,I pocket anything I see that might have some value.
Charlatan,Ideal,Independence. I am a free spirit-no one tells me what to do. (Chaotic)
Charlatan,Ideal,Fairness. I never target people who can't afford to lose a few coins. (Lawful)
Charlatan,Ideal,Charity. I distribute the money I acquire to the people who really need it. (Good)
Charlatan,Ideal,Creativity. I never run the same con twice. (Chaotic)
Charlatan,Ideal,Friendship. Material goods come and go. bond of friendship last forever. (Good)
Charlatan,Ideal,Aspiration. I'm determined to make something of myself. (Any)
Charlatan,Bond,I fleeced the wrong person and must work to ensure that this individual never crosses paths with me or those I care about.
Charlatan,Bond,I owe everything to my mentor-a horrible person who's probably rotting in jail somewhere.
Charlatan,Bond,"Somewhere out there, I have a child who doesn't know me. I'm making the world better for him or her."
Charlatan,Bond,"I come from a noble family, and one day I'll reclaim my lands and title from those who stole them from me."
Charlatan,Bond,"A powerful person killed someone I love. Some day soon, I'll have my revenge."
Charlatan,Bond,I swindled and ruined a person who didn't deserve it. I seek to atone for my misdeeds but might never be able to forgive myself.
Charlatan,Flaw,I can't resist a pretty face.
Charlatan,Flaw,I'm always in debt. I spend my ill-gotten gains on decadent luxuries faster than I bring them in.
Charlatan,Flaw,I'm convinced that no one could ever fool me the way I fool others.
Charlatan,Flaw,I'm too greedy for my own good. I can't resist taking a risk if there's money involved.
Charlatan,Flaw,I can't resist swindling people who are more powerful than me.
Charlatan,Flaw,"I hate to admit it and will hate myself for it, but I'll run and preserve my own hide if the going gets tough."
Criminal,Specialty,Blackmailer
Criminal,Specialty,Burglar
Criminal,Specialty,Enforcer
Criminal,Specialty,Fence
Criminal,Specialty,Highway robber
Criminal,Specialty,Hired killer
Criminal,Specialty,Pickpocket
Criminal,Specialty,Smuggler
Criminal,Trait,I always have a plan for when things go wrong.
Criminal,Trait,"I am always calm, no matter what the situation. I never raise my voice or let my emotions control me."
Criminal,Trait,The first thing I do in a new place is note the locations of everything valuable-or where such things could be hidden.
Criminal,Trait,I would rather make a new friend than a new enemy.
Criminal,Trait,I am incredibly slow to trust. Those who seem the fairest often have the most to hide.
Criminal,Trait,I don't pay attention to the risks in a situation. Never tell me the odds.
Criminal,Trait,The best way to get me to do something is to tell me I can't do it.
Criminal,Trait,I blow up at the slightest insult.
Criminal,Ideal,Honor. I don't steal from others in the trade. (Lawful)
Criminal,Ideal,"Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)"
Criminal,Ideal,Charity. I steal from the wealthy so that I can help people in need. (Good)
Criminal,Ideal,Greed. I will do whatever it takes to become wealthy. (Evil)
Criminal,Ideal,"People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)"
Criminal,Ideal,Redemption. There's a spark of good in everyone. (Good)
Criminal,Bond,I'm trying to pay off an old debt I owe to a generous benefactor.
Criminal,Bond,My ill-gotten gains go to support my family.
Criminal,Bond,"Something important was taken from me, and I aim to steal it back."
Criminal,Bond,I will become the greatest thief that ever lived.
Criminal,Bond,I'm guilty of a terrible crime. I hope I can redeem myself for it.
Criminal,Bond,Someone I loved died because of a mistake I made. That will never happen again.
Criminal,Flaw,"When I see something valuable, I can't think about anything but how to steal it."
Criminal,Flaw,"When faced with a choice between money and my friends, I usually choose the money."
Criminal,Flaw,"If there's a plan, I'll forget it. If I don't forget it, I'll ignore it."
Criminal,Flaw,I have a 'tell' that reveals when I'm lying.
Criminal,Flaw,I turn tail and run when things look bad.
Criminal,Flaw,An innocent person is in prison for a crime that I committed. I'm okay with that.
Entertainer,Routine,Actor
Entertainer,Routine,Dancer
Entertainer,Routine,Fire-eater
Entertainer,Routine,Jester
Entertainer,Routine,Juggler
Entertainer,Routine,Instrumentalist
Entertainer,Routine,Poet
Entertainer,Routine,Singer
Entertainer,Routine,Storyteller
Entertainer,Routine,Tumbler
Entertainer,Trait,I know a story relevant to almost every situation.
Entertainer,Trait,"Whenever I come to a new place, I collect local rumors and spread gossip."
Entertainer,Trait,"I'm a hopeless romantic, always searching for that ""special someone""."
Entertainer,Trait,"Nobody stays angry at me or around me for long, since I can defuse any amount of tension."
Entertainer,Trait,"I love a good insult, even one directed at me."
Entertainer,Trait,I get bitter if I'm not the center of attention.
Entertainer,Trait,I'll settle for nothing less than perfection.
Entertainer,Trait,I change my mood or my mind as quickly as I change key in a song.
Entertainer,Ideal,"Beauty. When I perform, I make the world better than it was. (Good)"
